LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,IMMIGINFLOW,WORK,NBR,A,2004,11747,
DEU,IMMIGINFLOW,WORK,NBR,A,2005,12993,
DEU,IMMIGINFLOW,WORK,NBR,A,2006,13327,
DEU,IMMIGINFLOW,WORK,NBR,A,2007,17654,
DEU,IMMIGINFLOW,WORK,NBR,A,2008,21917,
DEU,IMMIGINFLOW,WORK,NBR,A,2009,18075,
DEU,IMMIGINFLOW,WORK,NBR,A,2010,20092,
DEU,IMMIGINFLOW,WORK,NBR,A,2011,26065,
DEU,IMMIGINFLOW,WORK,NBR,A,2012,22143,
DEU,IMMIGINFLOW,WORK,NBR,A,2013,24293,
DEU,IMMIGINFLOW,WORK,NBR,A,2014,27854,
DEU,IMMIGINFLOW,WORK,NBR,A,2015,27108,
DEU,IMMIGINFLOW,WORK,NBR,A,2016,50458,
IRL,IMMIGINFLOW,WORK,NBR,A,2002,26019,
IRL,IMMIGINFLOW,WORK,NBR,A,2003,24073,
IRL,IMMIGINFLOW,WORK,NBR,A,2004,2894,
IRL,IMMIGINFLOW,WORK,NBR,A,2005,10475,
IRL,IMMIGINFLOW,WORK,NBR,A,2006,9028,
IRL,IMMIGINFLOW,WORK,NBR,A,2007,7500,
IRL,IMMIGINFLOW,WORK,NBR,A,2008,5605,
IRL,IMMIGINFLOW,WORK,NBR,A,2009,2770,
IRL,IMMIGINFLOW,WORK,NBR,A,2010,2572,
IRL,IMMIGINFLOW,WORK,NBR,A,2011,2263,
IRL,IMMIGINFLOW,WORK,NBR,A,2012,2199,
IRL,IMMIGINFLOW,WORK,NBR,A,2013,2403,
IRL,IMMIGINFLOW,WORK,NBR,A,2014,4017,
IRL,IMMIGINFLOW,WORK,NBR,A,2015,4811,
IRL,IMMIGINFLOW,WORK,NBR,A,2016,6363,
ITA,IMMIGINFLOW,WORK,NBR,A,2003,19500,
ITA,IMMIGINFLOW,WORK,NBR,A,2004,32000,
ITA,IMMIGINFLOW,WORK,NBR,A,2005,53860.844,
ITA,IMMIGINFLOW,WORK,NBR,A,2006,52178,
ITA,IMMIGINFLOW,WORK,NBR,A,2007,150098,
ITA,IMMIGINFLOW,WORK,NBR,A,2008,145091,
ITA,IMMIGINFLOW,WORK,NBR,A,2009,130028,
ITA,IMMIGINFLOW,WORK,NBR,A,2010,134249,
ITA,IMMIGINFLOW,WORK,NBR,A,2011,104138,
ITA,IMMIGINFLOW,WORK,NBR,A,2012,57027,
ITA,IMMIGINFLOW,WORK,NBR,A,2013,73139,
ITA,IMMIGINFLOW,WORK,NBR,A,2014,48493,
ITA,IMMIGINFLOW,WORK,NBR,A,2015,13800,
ITA,IMMIGINFLOW,WORK,NBR,A,2016,5869,
JPN,IMMIGINFLOW,WORK,NBR,A,1995,0,
JPN,IMMIGINFLOW,WORK,NBR,A,1996,0,
JPN,IMMIGINFLOW,WORK,NBR,A,1997,0,
JPN,IMMIGINFLOW,WORK,NBR,A,1998,19476,
JPN,IMMIGINFLOW,WORK,NBR,A,1999,17518,
JPN,IMMIGINFLOW,WORK,NBR,A,2000,17516,
JPN,IMMIGINFLOW,WORK,NBR,A,2001,16633,
JPN,IMMIGINFLOW,WORK,NBR,A,2002,14477,
JPN,IMMIGINFLOW,WORK,NBR,A,2003,15497,
JPN,IMMIGINFLOW,WORK,NBR,A,2004,18297,
JPN,IMMIGINFLOW,WORK,NBR,A,2005,20625,
JPN,IMMIGINFLOW,WORK,NBR,A,2006,28617,
JPN,IMMIGINFLOW,WORK,NBR,A,2007,34880,
JPN,IMMIGINFLOW,WORK,NBR,A,2008,33660,
JPN,IMMIGINFLOW,WORK,NBR,A,2009,23355,
JPN,IMMIGINFLOW,WORK,NBR,A,2010,19280,
JPN,IMMIGINFLOW,WORK,NBR,A,2011,22438,
JPN,IMMIGINFLOW,WORK,NBR,A,2012,26908,
JPN,IMMIGINFLOW,WORK,NBR,A,2013,25050,
JPN,IMMIGINFLOW,WORK,NBR,A,2014,29261,
JPN,IMMIGINFLOW,WORK,NBR,A,2015,41256,
JPN,IMMIGINFLOW,WORK,NBR,A,2016,49099,
KOR,IMMIGINFLOW,WORK,NBR,A,2000,1891,
KOR,IMMIGINFLOW,WORK,NBR,A,2001,1617,
KOR,IMMIGINFLOW,WORK,NBR,A,2002,1214,
KOR,IMMIGINFLOW,WORK,NBR,A,2003,1036,
KOR,IMMIGINFLOW,WORK,NBR,A,2004,1145,
KOR,IMMIGINFLOW,WORK,NBR,A,2005,1474,
KOR,IMMIGINFLOW,WORK,NBR,A,2006,895,
KOR,IMMIGINFLOW,WORK,NBR,A,2007,1001,
KOR,IMMIGINFLOW,WORK,NBR,A,2008,1020,
KOR,IMMIGINFLOW,WORK,NBR,A,2009,813,
KOR,IMMIGINFLOW,WORK,NBR,A,2010,873,
KOR,IMMIGINFLOW,WORK,NBR,A,2011,840,
KOR,IMMIGINFLOW,WORK,NBR,A,2012,793,
KOR,IMMIGINFLOW,WORK,NBR,A,2013,921,
KOR,IMMIGINFLOW,WORK,NBR,A,2014,593,
KOR,IMMIGINFLOW,WORK,NBR,A,2015,565,
KOR,IMMIGINFLOW,WORK,NBR,A,2016,717,
NLD,IMMIGINFLOW,WORK,NBR,A,1995,3424,
NLD,IMMIGINFLOW,WORK,NBR,A,1996,4432,
NLD,IMMIGINFLOW,WORK,NBR,A,1997,4756.129,
NLD,IMMIGINFLOW,WORK,NBR,A,1998,5810.036,
NLD,IMMIGINFLOW,WORK,NBR,A,1999,5887.163,
NLD,IMMIGINFLOW,WORK,NBR,A,2000,6838.879,
NLD,IMMIGINFLOW,WORK,NBR,A,2001,7752.684,
NLD,IMMIGINFLOW,WORK,NBR,A,2002,7137.43,
NLD,IMMIGINFLOW,WORK,NBR,A,2003,7065.477,
NLD,IMMIGINFLOW,WORK,NBR,A,2004,5100,
NLD,IMMIGINFLOW,WORK,NBR,A,2005,5300,
NLD,IMMIGINFLOW,WORK,NBR,A,2006,6400,
NLD,IMMIGINFLOW,WORK,NBR,A,2007,11958,
NLD,IMMIGINFLOW,WORK,NBR,A,2008,9907,
NLD,IMMIGINFLOW,WORK,NBR,A,2009,8787,
NLD,IMMIGINFLOW,WORK,NBR,A,2010,8662,
NLD,IMMIGINFLOW,WORK,NBR,A,2011,9588,
NLD,IMMIGINFLOW,WORK,NBR,A,2012,11685,
NLD,IMMIGINFLOW,WORK,NBR,A,2013,12963,
NLD,IMMIGINFLOW,WORK,NBR,A,2014,11948,
NLD,IMMIGINFLOW,WORK,NBR,A,2015,13119,
NLD,IMMIGINFLOW,WORK,NBR,A,2016,14827,
NZL,IMMIGINFLOW,WORK,NBR,A,2001,13336,
NZL,IMMIGINFLOW,WORK,NBR,A,2002,13390,
NZL,IMMIGINFLOW,WORK,NBR,A,2003,9235,
NZL,IMMIGINFLOW,WORK,NBR,A,2004,7662,
NZL,IMMIGINFLOW,WORK,NBR,A,2005,14459,
NZL,IMMIGINFLOW,WORK,NBR,A,2006,12906,
NZL,IMMIGINFLOW,WORK,NBR,A,2007,12362,
NZL,IMMIGINFLOW,WORK,NBR,A,2008,12802,
NZL,IMMIGINFLOW,WORK,NBR,A,2009,11629,
NZL,IMMIGINFLOW,WORK,NBR,A,2010,12114,
NZL,IMMIGINFLOW,WORK,NBR,A,2011,10194,
NZL,IMMIGINFLOW,WORK,NBR,A,2012,10052,
NZL,IMMIGINFLOW,WORK,NBR,A,2013,10126,
NZL,IMMIGINFLOW,WORK,NBR,A,2014,11664,
NZL,IMMIGINFLOW,WORK,NBR,A,2015,13914,
NZL,IMMIGINFLOW,WORK,NBR,A,2016,14080,
NOR,IMMIGINFLOW,WORK,NBR,A,2003,1142,
NOR,IMMIGINFLOW,WORK,NBR,A,2004,757,
NOR,IMMIGINFLOW,WORK,NBR,A,2005,1243,
NOR,IMMIGINFLOW,WORK,NBR,A,2006,2027,
NOR,IMMIGINFLOW,WORK,NBR,A,2007,3006,
NOR,IMMIGINFLOW,WORK,NBR,A,2008,3508,
NOR,IMMIGINFLOW,WORK,NBR,A,2009,2688,
NOR,IMMIGINFLOW,WORK,NBR,A,2010,2830,
NOR,IMMIGINFLOW,WORK,NBR,A,2011,3495,
NOR,IMMIGINFLOW,WORK,NBR,A,2012,4082,
NOR,IMMIGINFLOW,WORK,NBR,A,2013,3845,
NOR,IMMIGINFLOW,WORK,NBR,A,2014,3737,
NOR,IMMIGINFLOW,WORK,NBR,A,2015,2875,
NOR,IMMIGINFLOW,WORK,NBR,A,2016,2488,
PRT,IMMIGINFLOW,WORK,NBR,A,1999,1928.92,
PRT,IMMIGINFLOW,WORK,NBR,A,2000,4953.703,
PRT,IMMIGINFLOW,WORK,NBR,A,2001,3573.742,
PRT,IMMIGINFLOW,WORK,NBR,A,2002,3271.921,
PRT,IMMIGINFLOW,WORK,NBR,A,2003,3440.205,
PRT,IMMIGINFLOW,WORK,NBR,A,2004,5753.858,
PRT,IMMIGINFLOW,WORK,NBR,A,2005,4030,
PRT,IMMIGINFLOW,WORK,NBR,A,2006,7202,
PRT,IMMIGINFLOW,WORK,NBR,A,2007,8815,
PRT,IMMIGINFLOW,WORK,NBR,A,2008,24667,
PRT,IMMIGINFLOW,WORK,NBR,A,2009,17665,
PRT,IMMIGINFLOW,WORK,NBR,A,2010,10660,
PRT,IMMIGINFLOW,WORK,NBR,A,2011,6953,
PRT,IMMIGINFLOW,WORK,NBR,A,2012,5659,
PRT,IMMIGINFLOW,WORK,NBR,A,2013,6055,
PRT,IMMIGINFLOW,WORK,NBR,A,2014,6121,
PRT,IMMIGINFLOW,WORK,NBR,A,2015,6670,
PRT,IMMIGINFLOW,WORK,NBR,A,2016,5699,
ESP,IMMIGINFLOW,WORK,NBR,A,2007,180569.657,
ESP,IMMIGINFLOW,WORK,NBR,A,2008,116209.718,
ESP,IMMIGINFLOW,WORK,NBR,A,2009,102267,
ESP,IMMIGINFLOW,WORK,NBR,A,2010,89811,
ESP,IMMIGINFLOW,WORK,NBR,A,2011,75891,
ESP,IMMIGINFLOW,WORK,NBR,A,2012,47464,
ESP,IMMIGINFLOW,WORK,NBR,A,2013,37350,
ESP,IMMIGINFLOW,WORK,NBR,A,2014,31616,
ESP,IMMIGINFLOW,WORK,NBR,A,2015,33568,
ESP,IMMIGINFLOW,WORK,NBR,A,2016,27902,
SWE,IMMIGINFLOW,WORK,NBR,A,2000,433,
SWE,IMMIGINFLOW,WORK,NBR,A,2001,442,
SWE,IMMIGINFLOW,WORK,NBR,A,2002,403,
SWE,IMMIGINFLOW,WORK,NBR,A,2003,319,
SWE,IMMIGINFLOW,WORK,NBR,A,2004,209,
SWE,IMMIGINFLOW,WORK,NBR,A,2005,293,
SWE,IMMIGINFLOW,WORK,NBR,A,2006,349,
SWE,IMMIGINFLOW,WORK,NBR,A,2007,543,
SWE,IMMIGINFLOW,WORK,NBR,A,2008,796,
SWE,IMMIGINFLOW,WORK,NBR,A,2009,2172,
SWE,IMMIGINFLOW,WORK,NBR,A,2010,3658,
SWE,IMMIGINFLOW,WORK,NBR,A,2011,4753.897,
SWE,IMMIGINFLOW,WORK,NBR,A,2012,4355.459,
SWE,IMMIGINFLOW,WORK,NBR,A,2013,3876.1,
SWE,IMMIGINFLOW,WORK,NBR,A,2014,3713.103,
SWE,IMMIGINFLOW,WORK,NBR,A,2015,3855.292,
SWE,IMMIGINFLOW,WORK,NBR,A,2016,3771,
CHE,IMMIGINFLOW,WORK,NBR,A,2004,1124,
CHE,IMMIGINFLOW,WORK,NBR,A,2005,1415,
CHE,IMMIGINFLOW,WORK,NBR,A,2006,1612,
CHE,IMMIGINFLOW,WORK,NBR,A,2007,1983,
CHE,IMMIGINFLOW,WORK,NBR,A,2008,3163,
CHE,IMMIGINFLOW,WORK,NBR,A,2009,2713,
CHE,IMMIGINFLOW,WORK,NBR,A,2010,2382,
CHE,IMMIGINFLOW,WORK,NBR,A,2011,2319,
CHE,IMMIGINFLOW,WORK,NBR,A,2012,2157,
CHE,IMMIGINFLOW,WORK,NBR,A,2013,2279,
CHE,IMMIGINFLOW,WORK,NBR,A,2014,1868,
CHE,IMMIGINFLOW,WORK,NBR,A,2015,1849,
CHE,IMMIGINFLOW,WORK,NBR,A,2016,1806,
GBR,IMMIGINFLOW,WORK,NBR,A,2003,76930.258,
GBR,IMMIGINFLOW,WORK,NBR,A,2004,79051.551,
GBR,IMMIGINFLOW,WORK,NBR,A,2005,90221.13,
GBR,IMMIGINFLOW,WORK,NBR,A,2006,100678.183,
GBR,IMMIGINFLOW,WORK,NBR,A,2007,92036,
GBR,IMMIGINFLOW,WORK,NBR,A,2008,101144,
GBR,IMMIGINFLOW,WORK,NBR,A,2009,115152,
GBR,IMMIGINFLOW,WORK,NBR,A,2010,107046,
GBR,IMMIGINFLOW,WORK,NBR,A,2011,65727,
GBR,IMMIGINFLOW,WORK,NBR,A,2012,55851,
GBR,IMMIGINFLOW,WORK,NBR,A,2013,22279,
GBR,IMMIGINFLOW,WORK,NBR,A,2014,26590,
GBR,IMMIGINFLOW,WORK,NBR,A,2015,27899,
GBR,IMMIGINFLOW,WORK,NBR,A,2016,27569,
USA,IMMIGINFLOW,WORK,NBR,A,1996,117460,
USA,IMMIGINFLOW,WORK,NBR,A,1997,90490,
USA,IMMIGINFLOW,WORK,NBR,A,1998,77413,
USA,IMMIGINFLOW,WORK,NBR,A,1999,56678,
USA,IMMIGINFLOW,WORK,NBR,A,2000,106642,
USA,IMMIGINFLOW,WORK,NBR,A,2001,178702,
USA,IMMIGINFLOW,WORK,NBR,A,2002,173814,
USA,IMMIGINFLOW,WORK,NBR,A,2003,81727,
USA,IMMIGINFLOW,WORK,NBR,A,2004,72571,
USA,IMMIGINFLOW,WORK,NBR,A,2005,113961,
USA,IMMIGINFLOW,WORK,NBR,A,2006,71373,
USA,IMMIGINFLOW,WORK,NBR,A,2007,73109,
USA,IMMIGINFLOW,WORK,NBR,A,2008,75935,
USA,IMMIGINFLOW,WORK,NBR,A,2009,65557,
USA,IMMIGINFLOW,WORK,NBR,A,2010,66989,
USA,IMMIGINFLOW,WORK,NBR,A,2011,65268,
USA,IMMIGINFLOW,WORK,NBR,A,2012,65918,
USA,IMMIGINFLOW,WORK,NBR,A,2013,75878,
USA,IMMIGINFLOW,WORK,NBR,A,2014,70991,
USA,IMMIGINFLOW,WORK,NBR,A,2015,68624,
USA,IMMIGINFLOW,WORK,NBR,A,2016,65552,
RUS,IMMIGINFLOW,WORK,NBR,A,2007,8575,
RUS,IMMIGINFLOW,WORK,NBR,A,2008,22511,
RUS,IMMIGINFLOW,WORK,NBR,A,2009,42672,
RUS,IMMIGINFLOW,WORK,NBR,A,2010,70390,
RUS,IMMIGINFLOW,WORK,NBR,A,2011,272979,
MEX,IMMIGINFLOW,WORK,NBR,A,2010,14370,
MEX,IMMIGINFLOW,WORK,NBR,A,2011,10287,
MEX,IMMIGINFLOW,WORK,NBR,A,2012,8269,
MEX,IMMIGINFLOW,WORK,NBR,A,2013,17127,
MEX,IMMIGINFLOW,WORK,NBR,A,2014,10304,
MEX,IMMIGINFLOW,WORK,NBR,A,2015,8668,
MEX,IMMIGINFLOW,WORK,NBR,A,2016,8339,
LUX,IMMIGINFLOW,WORK,NBR,A,2011,0,
LUX,IMMIGINFLOW,WORK,NBR,A,2012,501,
LUX,IMMIGINFLOW,WORK,NBR,A,2013,1135,
LUX,IMMIGINFLOW,WORK,NBR,A,2014,690,
LUX,IMMIGINFLOW,WORK,NBR,A,2015,971,
LUX,IMMIGINFLOW,WORK,NBR,A,2016,1110,
POL,IMMIGINFLOW,WORK,NBR,A,2011,0,
